Add NaCl,Distance of S outside Furnace (in cm),Flow rate (sccm),Reaction Temperature (Â°C),Ramp time (min),Reaction time (min),Result
1.0,0.6666666666666666,0.20833333333333334,0.5684210526315789,0.3500000000000001,0.5,False
0.0,0.5,0.29166666666666663,0.42105263157894735,0.25,0.5,False
1.0,0.5,0.375,0.0,0.10000000000000009,0.0,False
0.0,0.5,0.20833333333333334,0.5263157894736843,0.30000000000000004,0.5,False
0.0,0.5,0.125,0.5263157894736843,0.25,1.0,False
1.0,0.5,0.375,0.21052631578947367,0.10000000000000009,1.0,True
1.0,0.5,0.7916666666666667,0.10526315789473695,0.5,0.0,True
0.0,0.16666666666666666,0.22916666666666666,0.631578947368421,0.3500000000000001,1.0,False
0.0,0.8333333333333334,0.25,0.42105263157894735,0.25,0.5,False
1.0,0.5,0.20833333333333334,0.5263157894736843,0.30000000000000004,0.5,True
0.0,0.5,0.16666666666666669,0.42105263157894735,0.25,0.5,False
1.0,0.2333333333333333,0.29166666666666663,0.42105263157894735,0.25,1.0,False
0.0,0.43333333333333335,0.3333333333333333,0.5263157894736843,0.30000000000000004,0.7000000000000002,True
0.0,0.6666666666666666,0.125,0.5263157894736843,0.25,0.5,False
0.0,0.6666666666666666,0.29166666666666663,0.42105263157894735,0.25,1.0,False
0.0,0.5,0.125,0.8421052631578947,0.5,1.0,False
1.0,0.7666666666666666,0.125,0.42105263157894735,0.30000000000000004,0.5,False
0.0,0.6666666666666666,0.125,0.42105263157894735,0.25,1.0,True
1.0,0.5,0.29166666666666663,0.42105263157894735,0.25,0.5,False
0.0,0.5,0.0,0.9473684210526316,0.5,0.0,False
0.0,0.33333333333333337,0.20833333333333334,0.4736842105263157,0.25,0.5,False
1.0,0.5,0.16666666666666669,0.4736842105263157,0.25,0.5,False
1.0,0.5,0.7916666666666667,0.05263157894736836,0.050000000000000044,1.0,True
1.0,0.43333333333333335,0.29166666666666663,0.42105263157894735,0.30000000000000004,0.9000000000000001,False
1.0,0.6666666666666666,0.125,0.42105263157894735,0.30000000000000004,0.5,False
0.0,0.8333333333333334,0.20833333333333334,0.42105263157894735,0.30000000000000004,0.5,False
0.0,0.6666666666666666,0.20833333333333334,0.42105263157894735,0.25,1.0,True
0.0,0.33333333333333337,0.125,0.42105263157894735,0.30000000000000004,0.5,False
0.0,0.5,0.7916666666666667,0.05263157894736836,0.050000000000000044,0.5,True
0.0,0.5,0.16666666666666669,0.05263157894736836,0.20000000000000007,0.5,True
0.0,0.5,0.125,0.5263157894736843,0.30000000000000004,0.5,True
1.0,0.5,0.125,0.42105263157894735,0.25,1.0,False
1.0,0.5,0.125,0.42105263157894735,0.25,0.5,False
1.0,0.9999999999999999,0.29166666666666663,0.5263157894736843,0.30000000000000004,0.8,False
0.0,0.5,0.125,0.42105263157894735,0.25,1.0,False
0.0,0.5,0.7916666666666667,0.05263157894736836,0.050000000000000044,0.0,True
0.0,0.5,0.20833333333333334,0.5263157894736843,0.30000000000000004,0.5,False
1.0,0.6666666666666666,0.29166666666666663,0.4631578947368422,0.25,0.8,True
0.0,0.8333333333333334,0.125,0.736842105263158,0.4,1.0,True
0.0,0.5,0.125,0.42105263157894735,0.25,0.5,False
0.0,0.33333333333333337,0.29166666666666663,0.5263157894736843,0.30000000000000004,1.0,False
0.0,0.5,0.125,0.42105263157894735,0.25,0.5,False
0.0,0.5,0.16666666666666669,0.26315789473684204,0.25,1.0,True
0.0,0.5,0.20833333333333334,0.5263157894736843,0.30000000000000004,0.5,False
0.0,0.33333333333333337,0.375,0.631578947368421,0.3500000000000001,1.0,False
1.0,0.7666666666666666,0.29166666666666663,0.5263157894736843,0.30000000000000004,0.8,False
1.0,0.5,0.29166666666666663,0.4631578947368422,0.25,0.8,False
1.0,0.5,0.5833333333333334,0.05263157894736836,0.10000000000000009,1.0,True
0.0,0.5,0.20833333333333334,0.5263157894736843,0.30000000000000004,0.5,False
0.0,0.5,0.125,0.42105263157894735,0.25,1.0,False
0.0,0.5,1.0,0.42105263157894735,0.20000000000000007,1.0,True
0.0,0.33333333333333337,0.29166666666666663,0.631578947368421,0.3500000000000001,1.0,False
0.0,0.6666666666666666,0.125,0.42105263157894735,0.25,1.0,True
1.0,0.6666666666666666,0.20833333333333334,0.631578947368421,0.3500000000000001,0.5,False
1.0,0.6666666666666666,0.20833333333333334,0.631578947368421,0.3500000000000001,0.5,False
1.0,0.8333333333333334,0.20833333333333334,0.42105263157894735,0.30000000000000004,0.5,False
0.0,0.6,0.29166666666666663,0.4631578947368422,0.25,0.8,True
0.0,0.5,0.375,0.9473684210526316,0.55,0.5,True
0.0,0.5,0.125,0.5263157894736843,0.30000000000000004,0.5,True
0.0,0.6666666666666666,0.20833333333333334,0.5263157894736843,0.25,1.0,True
1.0,0.5,0.25,0.42105263157894735,0.25,0.5,False
0.0,0.43333333333333335,0.29166666666666663,0.5052631578947369,0.30000000000000004,0.9000000000000001,False
1.0,0.5,0.20833333333333334,0.5263157894736843,0.30000000000000004,0.5,False
1.0,0.5,0.20833333333333334,0.4842105263157894,0.30000000000000004,0.5,False
1.0,0.33333333333333337,0.29166666666666663,0.4631578947368422,0.30000000000000004,1.0,False
0.0,0.33333333333333337,0.20833333333333334,0.631578947368421,0.3500000000000001,1.0,False
1.0,0.5,0.125,0.42105263157894735,0.25,1.0,False
0.0,0.43333333333333335,0.29166666666666663,0.42105263157894735,0.30000000000000004,1.0,False
0.0,0.5,0.125,0.5263157894736843,0.30000000000000004,0.5,False
0.0,0.5,0.0,0.8947368421052633,0.45000000000000007,0.0,True
0.0,0.6666666666666666,0.29166666666666663,0.4631578947368422,0.3500000000000001,1.0,False
0.0,0.33333333333333337,0.20833333333333334,0.42105263157894735,0.25,0.5,False
1.0,0.6666666666666666,0.29166666666666663,0.4842105263157894,0.3500000000000001,1.0,False
0.0,0.8333333333333334,0.20833333333333334,0.42105263157894735,0.30000000000000004,0.5,False
0.0,0.5,0.08333333333333334,0.8421052631578947,0.4,0.0,False
0.0,0.8333333333333334,0.125,0.6736842105263159,0.30000000000000004,1.0,True
0.0,0.5,0.16666666666666669,0.4736842105263157,0.25,0.5,False
0.0,0.5,0.20833333333333334,0.5263157894736843,0.25,1.0,False
1.0,0.5,0.20833333333333334,0.5263157894736843,0.30000000000000004,0.5,False
1.0,0.5,0.5833333333333334,0.0,0.050000000000000044,0.5,False
0.0,0.5666666666666668,0.20833333333333334,0.42105263157894735,0.30000000000000004,0.5,False
0.0,0.20000000000000004,0.29166666666666663,0.4631578947368422,0.25,0.8,False
0.0,0.5,0.20833333333333334,0.5263157894736843,0.25,1.0,False
0.0,0.5,0.375,0.42105263157894735,0.30000000000000004,0.5,False
0.0,0.6666666666666666,0.29166666666666663,0.5263157894736843,0.30000000000000004,0.8,False
0.0,0.16666666666666666,0.29166666666666663,0.631578947368421,0.3500000000000001,1.0,False
1.0,0.33333333333333337,0.29166666666666663,0.42105263157894735,0.25,1.0,False
0.0,0.43333333333333335,0.125,0.42105263157894735,0.30000000000000004,0.5,False
1.0,0.5,0.7916666666666667,0.10526315789473695,0.5,0.0,True
1.0,0.7666666666666666,0.125,0.42105263157894735,0.30000000000000004,0.5,False
0.0,0.5,0.20833333333333334,0.6736842105263159,0.25,1.0,True
0.0,0.6666666666666666,0.125,0.42105263157894735,0.25,1.0,False
1.0,0.8333333333333334,0.29166666666666663,0.5263157894736843,0.30000000000000004,0.8,False
0.0,0.5,0.16666666666666669,0.4736842105263157,0.25,0.5,False
0.0,0.5,0.375,0.8421052631578947,0.4,0.5,False
0.0,0.6666666666666666,0.20833333333333334,0.631578947368421,0.3500000000000001,0.5,False
1.0,0.6666666666666666,0.29166666666666663,0.5263157894736843,0.30000000000000004,0.5,False
0.0,0.5,0.29166666666666663,0.42105263157894735,0.25,0.5,False
0.0,0.5,0.125,0.5263157894736843,0.30000000000000004,0.5,True
0.0,0.6666666666666666,0.125,0.42105263157894735,0.25,1.0,True
0.0,0.5,0.29166666666666663,0.5263157894736843,0.3500000000000001,1.0,False
0.0,0.5,0.16666666666666669,0.4736842105263157,0.25,0.5,False
0.0,0.5,0.375,0.05263157894736836,0.15000000000000002,1.0,True
0.0,0.5,0.125,0.42105263157894735,0.25,1.0,False
1.0,0.5,0.7916666666666667,0.10526315789473695,0.5,0.0,False
1.0,0.43333333333333335,0.29166666666666663,0.4631578947368422,0.25,0.8,False
0.0,0.5,0.08333333333333334,0.8947368421052633,0.45000000000000007,0.5,True
0.0,0.2333333333333333,0.20833333333333334,0.631578947368421,0.3500000000000001,1.0,False
0.0,0.5,0.29166666666666663,0.5052631578947369,0.30000000000000004,0.8,False
0.0,0.16666666666666666,0.25,0.42105263157894735,0.25,0.5,False
0.0,0.33333333333333337,0.125,0.42105263157894735,0.25,1.0,True
1.0,0.6666666666666666,0.29166666666666663,0.5263157894736843,0.3500000000000001,1.0,False
0.0,0.6666666666666666,0.20833333333333334,0.631578947368421,0.3500000000000001,0.5,False
1.0,0.5,0.125,0.42105263157894735,0.25,1.0,True
1.0,0.6666666666666666,0.125,0.42105263157894735,0.25,1.0,True
1.0,0.6666666666666666,0.20833333333333334,0.631578947368421,0.3500000000000001,0.5,False
0.0,0.5,0.20833333333333334,0.4631578947368422,0.30000000000000004,0.5,False
1.0,0.5,0.7916666666666667,0.10526315789473695,0.5,0.0,False
0.0,0.5,0.0,0.9473684210526316,0.45000000000000007,0.0,True
1.0,0.43333333333333335,0.29166666666666663,0.4631578947368422,0.25,0.8,False
0.0,0.5,0.125,0.5263157894736843,0.30000000000000004,0.5,False
0.0,0.5,0.16666666666666669,0.0,0.15000000000000002,0.5,False
0.0,0.5,0.20833333333333334,0.6736842105263159,0.25,1.0,True
0.0,0.8333333333333334,0.125,0.6736842105263159,0.30000000000000004,1.0,True
0.0,0.5,0.125,0.42105263157894735,0.25,1.0,False
0.0,0.33333333333333337,0.29166666666666663,0.631578947368421,0.3500000000000001,1.0,False
0.0,0.5,0.22916666666666666,0.631578947368421,0.3500000000000001,1.0,False
1.0,0.43333333333333335,0.29166666666666663,0.5052631578947369,0.30000000000000004,0.9000000000000001,False
0.0,0.5,0.125,0.42105263157894735,0.25,1.0,False
1.0,0.5,0.125,0.42105263157894735,0.25,1.0,False
0.0,0.5,0.29166666666666663,0.42105263157894735,0.25,0.5,False
0.0,0.5,0.125,0.4736842105263157,0.25,0.5,False
0.0,0.6666666666666666,0.20833333333333334,0.5684210526315789,0.3500000000000001,0.5,False
1.0,0.9999999999999999,0.125,0.5263157894736843,0.25,1.0,True
0.0,0.6666666666666666,0.125,0.5894736842105264,0.30000000000000004,0.5,False
0.0,0.5,0.375,0.05263157894736836,0.15000000000000002,0.0,True
0.0,0.5,0.08333333333333334,1.0000000000000002,0.5,0.0,False
0.0,0.5,0.20833333333333334,0.6736842105263159,0.25,1.0,True
1.0,0.5,0.7916666666666667,0.10526315789473695,0.5,0.0,True
1.0,0.8333333333333334,0.29166666666666663,0.5263157894736843,0.30000000000000004,0.7000000000000002,False
1.0,0.5,0.7916666666666667,0.0,0.0,0.0,True
0.0,0.6666666666666666,0.7916666666666667,0.42105263157894735,0.30000000000000004,0.5,False
1.0,0.3666666666666667,0.29166666666666663,0.33684210526315783,0.30000000000000004,1.0,True
0.0,0.5,0.20833333333333334,0.5263157894736843,0.30000000000000004,0.5,False
0.0,0.5,0.16666666666666669,0.4736842105263157,0.25,0.5,False
0.0,0.6666666666666666,0.29166666666666663,0.5263157894736843,0.3500000000000001,1.0,False
0.0,0.5,0.16666666666666669,0.8947368421052633,0.5,0.0,True
1.0,0.33333333333333337,0.29166666666666663,0.4631578947368422,0.30000000000000004,1.0,False
0.0,0.5,0.29166666666666663,0.42105263157894735,0.25,0.5,False
0.0,0.5,0.20833333333333334,0.4631578947368422,0.30000000000000004,0.5,False
1.0,0.6666666666666666,0.29166666666666663,0.42105263157894735,0.25,1.0,False
0.0,0.5,0.16666666666666669,0.9473684210526316,0.5,1.0,True
1.0,0.5,0.7916666666666667,0.0,0.0,0.5,True
1.0,0.5,0.125,0.42105263157894735,0.25,0.5,False
0.0,0.6666666666666666,0.29166666666666663,0.631578947368421,0.3500000000000001,1.0,False
0.0,0.5,0.29166666666666663,0.42105263157894735,0.25,0.5,False
1.0,0.5,0.25,0.42105263157894735,0.25,0.5,False
0.0,0.5,0.29166666666666663,0.8421052631578947,0.4,0.5,True
0.0,0.5,0.16666666666666669,0.4736842105263157,0.25,0.5,False
0.0,0.5,0.125,0.42105263157894735,0.25,1.0,True
0.0,0.5,0.7916666666666667,0.42105263157894735,0.30000000000000004,0.5,False
0.0,0.8333333333333334,0.125,0.736842105263158,0.4,1.0,True
0.0,0.6666666666666666,0.29166666666666663,0.5263157894736843,0.30000000000000004,0.6000000000000001,True
0.0,0.5,0.16666666666666669,0.4736842105263157,0.25,0.5,False
1.0,0.5,0.7916666666666667,0.10526315789473695,0.5,0.0,True
0.0,0.5,0.29166666666666663,0.631578947368421,0.3500000000000001,1.0,False
0.0,0.5,0.20833333333333334,0.42105263157894735,0.25,0.5,False
0.0,0.6666666666666666,0.125,0.42105263157894735,0.30000000000000004,0.5,False
0.0,0.9999999999999999,0.29166666666666663,0.5263157894736843,0.3500000000000001,1.0,False
1.0,0.9999999999999999,0.25,0.5263157894736843,0.30000000000000004,0.7000000000000002,False
1.0,0.5,0.125,0.42105263157894735,0.25,1.0,False
1.0,0.6666666666666666,0.20833333333333334,0.5684210526315789,0.3500000000000001,0.5,False
0.0,0.5,0.29166666666666663,0.9473684210526316,0.55,0.0,True
0.0,0.5,0.29166666666666663,0.631578947368421,0.3500000000000001,1.0,False
0.0,0.5,0.125,0.5263157894736843,0.30000000000000004,0.5,False
1.0,0.5,0.5833333333333334,0.05263157894736836,0.10000000000000009,0.5,True
0.0,0.6666666666666666,0.25,0.42105263157894735,0.25,0.5,False
0.0,0.6666666666666666,0.125,0.42105263157894735,0.25,1.0,True
0.0,0.0,0.29166666666666663,0.631578947368421,0.3500000000000001,1.0,False
0.0,0.33333333333333337,0.29166666666666663,0.5263157894736843,0.30000000000000004,0.8,False
0.0,0.5,0.0,0.736842105263158,0.3500000000000001,0.0,True
0.0,0.6666666666666666,0.125,0.5263157894736843,0.25,1.0,True
0.0,0.5,0.16666666666666669,0.4736842105263157,0.25,0.5,False
1.0,0.5,0.20833333333333334,0.42105263157894735,0.25,0.5,False
1.0,0.8333333333333334,0.29166666666666663,0.5263157894736843,0.30000000000000004,0.6000000000000001,False
0.0,0.16666666666666666,0.29166666666666663,0.4631578947368422,0.25,0.8,True
0.0,0.5,0.20833333333333334,0.5263157894736843,0.30000000000000004,0.5,False
0.0,0.43333333333333335,0.29166666666666663,0.5263157894736843,0.30000000000000004,0.9000000000000001,False
0.0,0.33333333333333337,0.041666666666666664,0.631578947368421,0.3500000000000001,1.0,False
0.0,0.5,0.5833333333333334,0.0,0.050000000000000044,1.0,True
0.0,0.6666666666666666,0.125,0.42105263157894735,0.25,1.0,False
0.0,0.5,0.25,0.42105263157894735,0.25,0.5,False
0.0,0.7666666666666666,0.125,0.4631578947368422,0.30000000000000004,0.5,False
0.0,0.5,0.375,0.0,0.10000000000000009,1.0,False
0.0,0.5,0.5833333333333334,0.42105263157894735,0.20000000000000007,0.0,True
0.0,0.5,0.125,0.42105263157894735,0.25,1.0,False
0.0,0.6666666666666666,0.25,0.42105263157894735,0.25,0.5,False
0.0,0.5666666666666668,0.125,0.42105263157894735,0.30000000000000004,0.5,False
0.0,0.33333333333333337,0.20833333333333334,0.5263157894736843,0.25,1.0,True
0.0,0.6666666666666666,0.125,0.42105263157894735,0.25,1.0,False
0.0,0.6666666666666666,0.125,0.42105263157894735,0.25,1.0,True
1.0,0.16666666666666666,0.25,0.42105263157894735,0.25,0.5,False
1.0,0.6666666666666666,0.20833333333333334,0.5684210526315789,0.3500000000000001,0.5,False
1.0,0.5,0.5833333333333334,0.05263157894736836,0.10000000000000009,0.0,True
0.0,0.6666666666666666,0.125,0.42105263157894735,0.25,1.0,True
0.0,0.5,0.20833333333333334,0.4842105263157894,0.30000000000000004,0.5,False
0.0,0.8333333333333334,0.125,0.9473684210526316,1.0,1.0,True
0.0,0.5,0.20833333333333334,0.4631578947368422,0.30000000000000004,0.5,False
0.0,0.5,0.375,0.8947368421052633,0.5,0.5,True
0.0,0.5,0.20833333333333334,0.631578947368421,0.25,1.0,True
0.0,0.5,0.25,0.42105263157894735,0.25,0.5,False
1.0,0.16666666666666666,0.25,0.42105263157894735,0.25,0.5,False
0.0,0.5,0.125,0.5263157894736843,0.25,1.0,False
0.0,0.5,0.20833333333333334,0.5263157894736843,0.30000000000000004,0.5,False
0.0,0.5,0.29166666666666663,1.0000000000000002,0.5,0.5,False
0.0,0.5,0.20833333333333334,0.5263157894736843,0.30000000000000004,0.5,True
0.0,0.5,0.29166666666666663,0.4842105263157894,0.3500000000000001,1.0,False
1.0,0.8333333333333334,0.25,0.42105263157894735,0.25,0.5,False
0.0,0.6666666666666666,0.25,0.42105263157894735,0.25,0.5,False
1.0,0.6666666666666666,0.20833333333333334,0.5684210526315789,0.3500000000000001,0.5,False
1.0,0.8333333333333334,0.125,0.631578947368421,0.4,1.0,True
0.0,0.5,0.7916666666666667,0.10526315789473695,0.5,0.0,False
0.0,0.5,0.16666666666666669,0.4736842105263157,0.25,0.5,False
0.0,0.8333333333333334,0.125,0.736842105263158,0.4,1.0,True
0.0,0.5,0.20833333333333334,0.5263157894736843,0.30000000000000004,0.5,False
0.0,0.33333333333333337,0.29166666666666663,0.631578947368421,0.3500000000000001,1.0,False
0.0,0.6666666666666666,0.125,0.4736842105263157,0.25,0.5,False
0.0,0.43333333333333335,0.29166666666666663,0.42105263157894735,0.25,1.0,False
0.0,0.5,0.16666666666666669,0.4736842105263157,0.25,0.5,True
0.0,0.5,0.125,0.42105263157894735,0.25,1.0,False
0.0,0.6666666666666666,0.125,0.42105263157894735,0.25,1.0,True
0.0,0.5,0.29166666666666663,0.5263157894736843,0.3500000000000001,1.0,False
1.0,0.6666666666666666,0.7916666666666667,0.42105263157894735,0.30000000000000004,0.5,False
0.0,0.5,0.375,1.0000000000000002,0.5,1.0,True
0.0,0.5,0.7916666666666667,0.10526315789473695,0.5,0.0,True
1.0,0.5,0.20833333333333334,0.5263157894736843,0.30000000000000004,0.5,False
0.0,0.5,0.125,0.42105263157894735,0.25,0.5,False
0.0,0.6666666666666666,0.125,0.42105263157894735,0.25,1.0,False
0.0,0.5,0.20833333333333334,0.6736842105263159,0.25,1.0,True
0.0,0.5,0.125,0.42105263157894735,0.25,1.0,False
